"payloads","figures","figure_files","tables","table_files","build_errors","html","source","source_file","type","id","label","relative_path","format","placement","status","sidecar_files","errors","html_file","html_status","interactive_viewer_file","interactive_viewer_status","files","table_errors","qmd_file","Model","Active parameters","Bound hits","Lower hits","Upper hits","Movement parameters","Movement bound hits","Movement hit rate","Movement directions hit","Hit rate"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","table","parameter-bound-hit-detail","Parameter bound hit detail","tables/parameter-bound-hit-detail.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","table","parameter-bound-hit-summary","Parameter bound hit summary","tables/parameter-bound-hit-summary.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/report-files.csv","table","tag-reporting-groups","Tag reporting groups","tables/tag-reporting-groups.csv","csv","auto","ok",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11-TimeVaryingCV",1964,41,37,4,56,34,"60.71%",0,"2.09%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11p001-Free",1970,38,36,2,56,32,"57.14%",0,"1.93%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11p002-Fix4",1966,38,36,2,56,32,"57.14%",0,"1.93%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11p003-Fix8",1962,38,35,3,56,32,"57.14%",0,"1.94%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11p004-FreeDrop60",1970,35,33,2,56,30,"53.57%",0,"1.78%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11p005-FreeTagWt0100",1970,42,41,1,56,33,"58.93%",0,"2.13%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12p001-Y73-E1-W000-FGroup",1094,34,33,1,56,29,"51.79%",0,"3.11%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12p002-Y73-E1-W025-FGroup",1094,34,33,1,56,29,"51.79%",0,"3.11%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12p003-Y73-E1-W050-FGroup",1094,34,33,1,56,29,"51.79%",0,"3.11%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12p004-Y73-E1-W100-FGroup",1094,34,33,1,56,29,"51.79%",0,"3.11%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12p005-Y73-E1-W200-FGroup",1094,34,33,1,56,29,"51.79%",0,"3.11%"
NA,NA,NA,NA,NA,NA,NA,NA,"j5b853cdee0a/outputs/tables/parameter-bound-hit-summary.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12p006-Y72-E1-W000-FGroup",1093,34,32,2,56,29,"51.79%",0,"3.11%"
